Date,DBA,DX-Y.NYB,IAK,TRV,ZC=F,ZW=F,^TNX
2010-06-28,21.454410552978516,85.6500015258789,21.421701431274414,36.08740234375,333.75,449.5,3.0320000648498535
2010-06-29,21.018020629882812,86.02999877929688,20.510780334472656,35.1405143737793,325.0,442.0,2.9670000076293945
2010-06-30,21.365352630615234,86.0199966430664,20.41969108581543,34.80133056640625,354.25,464.75,2.9509999752044678
2010-07-01,21.54347038269043,84.72000122070312,20.305824279785156,34.57521057128906,365.5,484.0,2.927000045776367
2010-07-02,21.47222328186035,84.43000030517578,20.2071475982666,34.29962158203125,364.0,487.75,2.9790000915527344
2010-07-06,21.27629280090332,84.08000183105469,20.260282516479492,34.3278923034668,360.0,492.75,2.931999921798706
2010-07-07,21.757213592529297,83.81999969482422,20.935871124267578,35.29597854614258,370.75,515.75,2.9800000190734863
2010-07-08,21.92642593383789,83.81999969482422,21.21674346923828,35.3948974609375,377.5,534.0,3.0199999809265137
2010-07-09,21.855178833007812,83.94999694824219,21.5659236907959,36.14392852783203,375.25,523.5,3.055999994277954
2010-07-12,21.810649871826172,84.19999694824219,21.383745193481445,36.122718811035156,371.25,521.25,3.0460000038146973
2010-07-13,21.9976749420166,83.63999938964844,21.82401466369629,36.17926025390625,366.75,535.75,3.114000082015991
2010-07-14,22.25594711303711,83.43000030517578,21.5659236907959,36.31351852416992,375.25,548.25,3.049999952316284
2010-07-15,22.594371795654297,82.55999755859375,21.44447135925293,35.54329299926758,392.5,596.25,2.9779999256134033
2010-07-16,22.505311965942383,82.48999786376953,20.791648864746094,35.06279754638672,394.75,587.25,2.938999891281128
2010-07-19,22.22922706604004,82.51000213623047,20.768875122070312,35.126380920410156,381.5,582.25,2.9639999866485596
2010-07-20,22.07782745361328,82.75,21.07251739501953,35.578609466552734,374.0,577.0,2.931999921798706
2010-07-21,22.14907455444336,83.38999938964844,20.73091697692871,35.23942565917969,379.75,588.25,2.8919999599456787
2010-07-22,22.273757934570312,82.5999984741211,21.353374481201172,34.82958984375,376.5,596.5,2.931999921798706
2010-07-23,22.398439407348633,82.45999908447266,21.61147117614746,35.43022918701172,371.25,596.25,2.99399995803833
2010-07-26,22.247037887573242,82.08999633789062,21.793649673461914,35.649288177490234,364.0,589.5,2.99399995803833
2010-07-27,22.220321655273438,82.18000030517578,21.755701065063477,35.741153717041016,362.75,595.0,3.046999931335449
2010-07-28,22.54093360900879,82.18000030517578,21.527965545654297,35.53622817993164,376.25,615.5,3.000999927520752
2010-07-29,22.736867904663086,81.63999938964844,21.748111724853516,35.6987419128418,379.25,627.5,2.999000072479248
2010-07-30,23.13763427734375,81.54000091552734,21.755701065063477,35.649288177490234,392.75,661.5,2.9070000648498535
2010-08-02,23.14653968811035,80.94000244140625,22.120067596435547,35.93193435668945,390.5,693.25,2.9630000591278076
2010-08-03,22.95060920715332,80.5999984741211,21.778478622436523,35.416099548339844,389.5,680.0,2.9140000343322754
2010-08-04,23.467153549194336,80.88999938964844,21.725339889526367,35.81182098388672,400.25,725.75,2.9519999027252197
2010-08-05,23.280128479003906,80.81999969482422,21.861974716186523,35.80473327636719,403.5,785.75,2.9149999618530273
2010-08-06,22.870454788208008,80.41000366210938,21.816434860229492,35.522098541259766,405.0,725.75,2.8239998817443848
2010-08-09,23.021854400634766,80.70999908447266,22.112476348876953,35.76234436035156,403.0,712.5,2.822000026702881
2010-08-10,22.90608024597168,80.80000305175781,21.94546890258789,34.907318115234375,393.5,694.75,2.7809998989105225
2010-08-11,22.701242446899414,82.29000091552734,21.1939640045166,34.5964241027832,395.5,694.75,2.684999942779541
2010-08-12,23.110918045043945,82.63999938964844,21.05733871459961,35.06985092163086,406.25,713.0,2.734999895095825
2010-08-13,23.128726959228516,82.94999694824219,21.004192352294922,35.43022918701172,411.75,702.5,2.687999963760376
2010-08-16,23.10201072692871,82.52999877929688,20.753692626953125,35.26770782470703,407.25,663.75,2.575000047683716
2010-08-17,23.226694107055664,82.2300033569336,21.148427963256836,35.26770782470703,414.75,651.0,2.6449999809265137
2010-08-18,23.226694107055664,82.22000122070312,21.239505767822266,35.38783264160156,418.5,656.0,2.6410000324249268
2010-08-19,23.306848526000977,82.44999694824219,20.67778205871582,35.21824264526367,414.25,681.25,2.5789999961853027
2010-08-20,23.351377487182617,83.05999755859375,20.59428596496582,35.3948974609375,421.25,679.0,2.611999988555908
2010-08-23,23.493871688842773,83.12000274658203,20.563919067382812,35.147579193115234,417.25,692.25,2.6070001125335693
2010-08-24,23.03076171875,83.1500015258789,20.19955062866211,34.80839920043945,405.25,674.75,2.499000072479248
2010-08-25,22.825925827026367,83.26000213623047,20.358957290649414,34.992130279541016,404.75,647.75,2.5380001068115234
2010-08-26,23.039670944213867,82.93000030517578,20.245101928710938,34.64588165283203,416.5,656.5,2.499000072479248
2010-08-27,23.2534122467041,82.91999816894531,20.837196350097656,35.23942565917969,421.0,662.5,2.6519999504089355
2010-08-30,23.306848526000977,83.16000366210938,20.47282600402832,34.589351654052734,425.5,671.25,2.5450000762939453
2010-08-31,23.13763427734375,83.19999694824219,20.525964736938477,34.61760330200195,424.5,652.5,2.4769999980926514
2010-09-01,23.422624588012695,82.5199966430664,21.307832717895508,35.550350189208984,432.25,675.5,2.5820000171661377
2010-09-02,23.600744247436523,82.45999908447266,21.36096954345703,35.48676681518555,433.0,680.75,2.628000020980835
2010-09-03,24.010414123535156,83.0999984741211,21.953067779541016,36.05914306640625,449.75,708.25,2.7060000896453857
2010-09-07,23.939167022705078,82.81999969482422,21.436874389648438,35.42316818237305,451.5,702.5,2.6089999675750732
2010-09-08,23.90354347229004,82.58999633789062,21.603879928588867,35.48723220825195,447.5,678.75,2.6540000438690186
2010-09-09,24.081666946411133,82.66999816894531,21.816434860229492,35.77903366088867,456.25,706.75,2.760999917984009
2010-09-10,23.992605209350586,82.69999694824219,21.808834075927734,35.62958526611328,464.0,704.75,2.7950000762939453
2010-09-13,24.233064651489258,81.91000366210938,22.1352481842041,35.90003204345703,469.25,713.75,2.740999937057495
2010-09-14,24.535865783691406,81.08000183105469,22.188386917114258,36.31283950805664,478.0,704.5,2.6659998893737793
2010-09-15,24.39337158203125,81.48999786376953,22.279476165771484,37.35909652709961,495.25,726.75,2.7230000495910645
2010-09-16,24.491336822509766,81.23999786376953,22.249113082885742,37.5085563659668,496.0,719.25,2.759000062942505
2010-09-17,24.722890853881836,81.4000015258789,22.264299392700195,37.48720932006836,513.25,739.25,2.746000051498413
2010-09-20,24.544771194458008,81.33999633789062,22.67421531677246,38.12065124511719,508.25,731.75,2.7060000896453857
2010-09-21,24.455711364746094,80.44000244140625,22.61347770690918,37.67226028442383,505.25,718.0,2.5940001010894775
2010-09-22,24.500244140625,79.83000183105469,22.23394203186035,37.24522018432617,505.0,719.75,2.5480000972747803
2010-09-23,24.35774803161621,80.01000213623047,21.801403045654297,37.2950325012207,499.25,697.25,2.555000066757202
2010-09-24,24.84757423400879,79.38999938964844,22.319215774536133,37.807472229003906,521.75,720.0,2.611999988555908
2010-09-27,24.936634063720703,79.33999633789062,22.273527145385742,37.12421798706055,512.75,706.5,2.5169999599456787
2010-09-28,24.820859909057617,79.01000213623047,22.463899612426758,37.50143051147461,500.0,684.75,2.4560000896453857
2010-09-29,24.58039665222168,78.69000244140625,22.28114128112793,37.00322723388672,505.0,683.5,2.50600004196167
2010-09-30,24.47352409362793,78.72000122070312,22.288753509521484,37.081520080566406,495.75,674.0,2.5169999599456787
2010-10-01,23.734333038330078,78.08999633789062,22.197378158569336,37.09573745727539,465.75,655.0,2.5260000228881836
2010-10-04,23.502779006958008,78.44999694824219,22.04507827758789,37.09573745727539,471.5,647.25,2.4790000915527344
2010-10-05,24.010414123535156,77.75,22.562891006469727,37.62955093383789,491.0,663.5,2.4739999771118164
2010-10-06,23.85901641845703,77.38999938964844,22.51720428466797,37.59395980834961,488.5,658.25,2.3989999294281006
2010-10-07,24.063852310180664,77.38999938964844,22.456287384033203,37.44449996948242,498.25,659.25,2.3959999084472656
2010-10-08,25.568954467773438,77.31999969482422,22.623815536499023,37.58685302734375,528.25,719.25,2.38100004196167
2010-10-11,25.20380973815918,77.44000244140625,22.59335708618164,37.686492919921875,555.75,709.25,2.38100004196167
2010-10-12,25.702545166015625,77.36000061035156,22.6999568939209,37.59395980834961,579.0,710.0,2.421999931335449
2010-10-13,25.551143646240234,77.06999969482422,22.943641662597656,38.01387405395508,569.25,702.75,2.430999994277954
2010-10-14,25.64910888671875,76.6500015258789,22.882715225219727,38.04948043823242,567.25,700.75,2.494999885559082
2010-10-15,25.399742126464844,77.04000091552734,22.791343688964844,38.17045593261719,563.0,704.5,2.5759999752044678
2010-10-18,25.470991134643555,76.93000030517578,23.095932006835938,38.718505859375,557.25,690.0,2.490999937057495
2010-10-19,25.292871475219727,78.18000030517578,22.73041534423828,38.26300048828125,546.0,671.5,2.4749999046325684
2010-10-20,25.978628158569336,77.16999816894531,23.07309341430664,38.88932418823242,573.5,683.0,2.4700000286102295
2010-10-21,25.916288375854492,77.41999816894531,23.134014129638672,39.13131332397461,564.25,668.75,2.5309998989105225
2010-10-22,25.943004608154297,77.47000122070312,23.07309341430664,39.21673583984375,560.0,670.75,2.562999963760376
2010-10-25,26.20128059387207,77.0999984741211,23.095932006835938,39.56547927856445,568.75,674.0,2.553999900817871
2010-10-26,26.34377098083496,77.70999908447266,23.156858444213867,39.16690444946289,571.0,692.0,2.635999917984009
2010-10-27,26.299243927001953,78.1500015258789,23.07309341430664,38.953372955322266,577.25,702.75,2.7119998931884766
2010-10-28,26.308151245117188,77.30999755859375,22.844640731811523,38.96049880981445,579.0,718.25,2.6610000133514404
2010-10-29,26.450645446777344,77.2699966430664,22.745656967163086,39.287899017333984,582.0,717.25,2.611999988555908
2010-11-01,26.245805740356445,77.30000305175781,22.783727645874023,39.69359588623047,577.25,702.5,2.628000020980835
2010-11-02,26.459548950195312,76.72000122070312,22.974098205566406,39.515655517578125,575.75,694.25,2.5940001010894775
2010-11-03,26.47736167907715,76.4800033569336,23.07309341430664,39.79323959350586,581.0,690.25,2.61899995803833
2010-11-04,27.074060440063477,75.87999725341797,23.735580444335938,40.73985290527344,590.0,713.75,2.4839999675750732
2010-11-05,27.011716842651367,76.55000305175781,23.766048431396484,40.8821907043457,587.75,728.75,2.5360000133514404
2010-11-08,27.350143432617188,77.02999877929688,23.522363662719727,40.27009201049805,585.25,736.25,2.562999963760376
2010-11-09,27.501544952392578,77.44000244140625,23.194927215576172,40.27009201049805,576.25,721.75,2.6589999198913574
2010-11-10,27.457015991210938,77.62999725341797,23.354843139648438,40.39820861816406,566.75,710.0,2.6480000019073486
2010-11-11,26.833599090576172,78.22000122070312,23.16446876525879,40.14910125732422,564.0,704.0,2.6480000019073486
2010-11-12,25.711450576782227,78.08000183105469,22.852256774902344,40.07792282104492,534.0,669.25,2.75600004196167
2010-11-15,26.023157119750977,78.5199966430664,22.920787811279297,40.41243362426758,555.5,672.75,2.9110000133514404
2010-11-16,25.185998916625977,79.20999908447266,22.50197410583496,38.953372955322266,526.5,626.25,2.8469998836517334
2010-11-17,25.38193130493164,79.08000183105469,22.555278778076172,39.40889358520508,525.75,632.5,2.864000082015991
2010-11-18,26.308151245117188,78.62000274658203,22.8370304107666,39.70782470703125,541.75,645.25,2.9019999504089355
2010-11-19,25.818321228027344,78.5,22.783727645874023,39.49430465698242,520.75,644.5,2.875
2010-11-22,25.836135864257812,78.68000030517578,22.6999568939209,39.16690444946289,515.25,645.5,2.812999963760376
2010-11-23,25.934101104736328,79.68000030517578,22.319215774536133,38.64733123779297,528.5,642.0,2.76200008392334
